X,Y
"ان کا کہنا تھا کہ کچھ بھی لکھو، عبارت کہیں سے بھی اتارو، چاہے کسی اخبار سے یا رسالے سے یا کتاب سے اور چاہو تو کوئی کہانی ہی لکھ لاؤ مگر لکھو ضرور اور لکھو بھی صاف صاف اور خوبصورت۔","ان کا کہنا تھا کہ کچھ بھی لکھو، عبارت کہیں سے بھی اتارو، چاہے کسی اخبار سے یا رسالے سے یا کتاب سے اور چاہو تو کوئی کہانی ہی لکھ لاؤ مگر لکھو ضرور اور لکھو بھی صاف صاف اور خوبصورت۔"
میں کتاب سے کوئی عبارت اتارنے کے بجائے اکثر دل سے قصے کہانیاں بناکر لکھ کر لے جایا کرتا تھا۔,میں کتاب سے کوئی عبارت اتارنے کے بجائے اکثر دل سے قصے کہانیاں بناکر لکھ کر لے جایا کرتا تھا۔
شاید یہیں سے مجھے کہانیاں لکھنے کا چسکا پڑ گیا۔,شاید یہیں سے مجھے کہانیاں لکھنے کا چسکا پڑ گیا۔
کہانیاں پڑھنے کی لت تو پہلے سے تھی ہی۔,کہانیاں پڑھنے کی لت تو پہلے سے تھی ہی۔
ضیا صاحب کے لئے آج بھی دل سے دعا نکلتی ہے۔,ضیا صاحب کے لئے آج بھی دل سے دعا نکلتی ہے۔
ان کا سکھایا پڑھایا بہت کام آیا۔,ان کا سکھایا پڑھایا بہت کام آیا۔
ساتویں جماعت میں جناب طیب عباسی ملے جو ہمیں عربی پڑھایا کرتے تھے۔,ساتویں جماعت میں جناب طیب عباسی ملے جو ہمیں عربی پڑھایا کرتے تھے۔
بچوں سے بڑی محبت کرتے تھے۔,بچوں سے بڑی محبت کرتے تھے۔
بہت مذہبی آدمی تھے۔,بہت مذہبی آدمی تھے۔
حضور اکرم صلی اللہ علیہ وسلم کی حدیثیں بھی سنایا کرتے تھے۔,حضور اکرم صلی اللہ علیہ وسلم کی حدیثیں بھی سنایا کرتے تھے۔
بچوں کی شاذ و نادر ہی پٹائی کی ہوگی۔,بچوں کی شاذ و نادر ہی پٹائی کی ہوگی۔
کلاس بہت شور مچاتی تو جھوٹ موٹ غصے سے کہتے: ’’کیا ہو رہا ہے بھئی؟‘‘ اور بچے اتنے شریر تھے کہ ان کا نرم سلوک دیکھ کر اور شیر ہو جاتے اور انہیں بار بار ’’کیا ہو رہا ہے بھئی‘‘ کہنا پڑتا۔,کلاس بہت شور مچاتی تو جھوٹ موٹ غصے سے کہتے: ’’کیا ہو رہا ہے بھئی؟‘‘ اور بچے اتنے شریر تھے کہ ان کا نرم سلوک دیکھ کر اور شیر ہو جاتے اور انہیں بار بار ’’کیا ہو رہا ہے بھئی‘‘ کہنا پڑتا۔
عباسی صاحب کا محبت بھرا برتاؤ اب بھی بہت یاد آتا ہے۔,عباسی صاحب کا محبت بھرا برتاؤ اب بھی بہت یاد آتا ہے۔
آٹھویں جماعت میں میں نے باغ ہالار اسکول چھوڑ کر سیفیہ اسکول میں داخلہ لے لیا۔,آٹھویں جماعت میں میں نے باغ ہالار اسکول چھوڑ کر سیفیہ اسکول میں داخلہ لے لیا۔
یہاں جس استاد نے میرے دل و دماغ پر قبضہ جما لیا وہ سید محمد طاہر صاحت تھے۔,یہاں جس استاد نے میرے دل و دماغ پر قبضہ جما لیا وہ سید محمد طاہر صاحت تھے۔
آپ ہمیں اردو پڑھاتے تھے۔,آپ ہمیں اردو پڑھاتے تھے۔
نہ صرف ان کے پڑھانے کا انداز بہت عمدہ تھا بلکہ وہ خوش مزاج بھی تھے۔,نہ صرف ان کے پڑھانے کا انداز بہت عمدہ تھا بلکہ وہ خوش مزاج بھی تھے۔
قہقہہ بہت بلند آواز میں لگاتے تھے اور دیر تک ہنستے رہتے تھے۔,قہقہہ بہت بلند آواز میں لگاتے تھے اور دیر تک ہنستے رہتے تھے۔
"حتی کہ اسکول کی راہ داریوں میں، اسٹاف روم میں یا کسی جماعت کے کمرے میں ہوتے تو بھی ان کے قہقے سے پتا چل جاتا تھا کہ طاہر صاحب یہیں کہیں ہیں۔","حتی کہ اسکول کی راہ داریوں میں، اسٹاف روم میں یا کسی جماعت کے کمرے میں ہوتے تو بھی ان کے قہقے سے پتا چل جاتا تھا کہ طاہر صاحب یہیں کہیں ہیں۔"
ان کی دلچسپ باتوں پر پوری کلاس دل کھول کر قہقہے لگایا کرتی تھی۔,ان کی دلچسپ باتوں پر پوری کلاس دل کھول کر قہقہے لگایا کرتی تھی۔
"چنانچہ ہارا اردو کا پریڈ سب سے مزیدار ہوتا تھا اور لگتا ہی نہیں تھا کہ پرھائی ہو رہی ہے، لیکن پڑھائی ساتھ ساتھ ہوتی جاتی تھی۔","چنانچہ ہارا اردو کا پریڈ سب سے مزیدار ہوتا تھا اور لگتا ہی نہیں تھا کہ پرھائی ہو رہی ہے، لیکن پڑھائی ساتھ ساتھ ہوتی جاتی تھی۔"
طاہر صاف کو سیکڑوں بلکہ ہزاروں شعر یاد تھے۔,طاہر صاف کو سیکڑوں بلکہ ہزاروں شعر یاد تھے۔
موقعے کے لحاظ سے غضب کا شعر پڑھتے تھے۔,موقعے کے لحاظ سے غضب کا شعر پڑھتے تھے۔
اس سے میرا شعر و شاعری کا شوق بہت بڑھ گیا۔,اس سے میرا شعر و شاعری کا شوق بہت بڑھ گیا۔
وہ جماعت میں طالب علموں سے شعر سنانے کی فرمائش کرتے۔,وہ جماعت میں طالب علموں سے شعر سنانے کی فرمائش کرتے۔
اگر کوئی لڑکا اچھا شعر پڑھتا تو بہت داد دیتے اور حوصلہ افزائی کرتے۔,اگر کوئی لڑکا اچھا شعر پڑھتا تو بہت داد دیتے اور حوصلہ افزائی کرتے۔
"چنانچہ میں نے ادھر ادھر سے کتابیں لے کر بڑے بڑے شاعر، مثلاً غالبؔ، اقبالؔ اور میر وغیرہ کے بےشمار شعر ایک کاپی میں لکھ لئے اور یاد کر لئے، بلکہ بہت سے شعر تو لکھنے کے دوران ہی یاد ہو گئے۔","چنانچہ میں نے ادھر ادھر سے کتابیں لے کر بڑے بڑے شاعر، مثلاً غالبؔ، اقبالؔ اور میر وغیرہ کے بےشمار شعر ایک کاپی میں لکھ لئے اور یاد کر لئے، بلکہ بہت سے شعر تو لکھنے کے دوران ہی یاد ہو گئے۔"
پھر تو یہ ہونے لگا کہ طاہر صاحب ایک شعر سناتے اور ایک میں سناتا اور پوری کلاس ’’واہ وا‘‘ کر کے داد کے ڈونگرے برساتی۔,پھر تو یہ ہونے لگا کہ طاہر صاحب ایک شعر سناتے اور ایک میں سناتا اور پوری کلاس ’’واہ وا‘‘ کر کے داد کے ڈونگرے برساتی۔
"طاہر صاحب نے ہمیں تین سال تک یعنی آٹھویں، نویں اور دسویں میں اردو پرھائی اور حق یہ ہے کہ اردو پرھانے کا حق ادا کر دیا۔","طاہر صاحب نے ہمیں تین سال تک یعنی آٹھویں، نویں اور دسویں میں اردو پرھائی اور حق یہ ہے کہ اردو پرھانے کا حق ادا کر دیا۔"
"اوروں کا تو میں نہیں کہہ سکتا، لیکن میرے اندر انہوں نے اردو زبان اور اردو شعر و ادب کا ایک ایسا ذوق اور مطالعے کا ایسا شوق پیدا کر دیا جس نے آگے چل کر میری پڑھائی اور زندگی پر بہت گہرا اثر ڈالا۔","اوروں کا تو میں نہیں کہہ سکتا، لیکن میرے اندر انہوں نے اردو زبان اور اردو شعر و ادب کا ایک ایسا ذوق اور مطالعے کا ایسا شوق پیدا کر دیا جس نے آگے چل کر میری پڑھائی اور زندگی پر بہت گہرا اثر ڈالا۔"
اللہ انہیں خوش رکھے۔,اللہ انہیں خوش رکھے۔
انہیں تین سالوں میں شبیر صاحب سے بھی ربط ضبط رہا۔,انہیں تین سالوں میں شبیر صاحب سے بھی ربط ضبط رہا۔
"اگرچہ سائنس کے آدمی تھے اور الجبرا اور طبیعات یعنی فزکس پڑھاتے تھے، لیکن شاعری سے اور ادب سے انہیں بھی بڑا لگاؤ تھا۔","اگرچہ سائنس کے آدمی تھے اور الجبرا اور طبیعات یعنی فزکس پڑھاتے تھے، لیکن شاعری سے اور ادب سے انہیں بھی بڑا لگاؤ تھا۔"
اسی طرح ہمارے ایک استاد احمد صاحب تھے۔,اسی طرح ہمارے ایک استاد احمد صاحب تھے۔
وہ خود شاعر تھے اور کچھ دنوں تک میں ان سے (شاعری پر) اصلاح بھی لیتا رہا۔,وہ خود شاعر تھے اور کچھ دنوں تک میں ان سے (شاعری پر) اصلاح بھی لیتا رہا۔
"تیسری چوتھی جماعت میں میں نے رسالے، کہانیاں اور ناول اس طرح چاٹنا شروع کر دیئے جیسے وہ قلفی یا کھٹ مٹھا چورن ہو۔","تیسری چوتھی جماعت میں میں نے رسالے، کہانیاں اور ناول اس طرح چاٹنا شروع کر دیئے جیسے وہ قلفی یا کھٹ مٹھا چورن ہو۔"
اسی دور میں میں نے ہمدرد نونہال پڑھنا شروع کر دیا اور یہ میرے من کو ایسا بھایا کہ آج تک اسے نہیں چھور سکا بلکہ اب تو میرا بیٹا سجاد بھی اسے پڑھتا ہے۔,اسی دور میں میں نے ہمدرد نونہال پڑھنا شروع کر دیا اور یہ میرے من کو ایسا بھایا کہ آج تک اسے نہیں چھور سکا بلکہ اب تو میرا بیٹا سجاد بھی اسے پڑھتا ہے۔
ہر ماہ جب اخبار والا ہمدرد نونہال کا تازہ شمارہ دے جاتا ہے تو دونوں باپ بیٹے اس کوشش میں ہوتے ہیں کہ اسے پہلے میں پرھ لوں اور اب تو سجاد کی امی جان محترمہ بھی اس دوڑ میں شریک ہو گئی ہیں۔,ہر ماہ جب اخبار والا ہمدرد نونہال کا تازہ شمارہ دے جاتا ہے تو دونوں باپ بیٹے اس کوشش میں ہوتے ہیں کہ اسے پہلے میں پرھ لوں اور اب تو سجاد کی امی جان محترمہ بھی اس دوڑ میں شریک ہو گئی ہیں۔
ہمدرد نونہال سے میں نے بہت کچھ سیکھا۔,ہمدرد نونہال سے میں نے بہت کچھ سیکھا۔
اس سے میں نے اردو سیکھی (اردو میری مادری زبان نہیں ہے) ہمدرد نونہال سے میں نے کہانیاں اور مضمون لکھنا سیکھا۔,اس سے میں نے اردو سیکھی (اردو میری مادری زبان نہیں ہے) ہمدرد نونہال سے میں نے کہانیاں اور مضمون لکھنا سیکھا۔
بےشمار معلومات اور عقل کی باتیناس نے مجھے سکھائیں۔,بےشمار معلومات اور عقل کی باتیناس نے مجھے سکھائیں۔
درحقیقت ہمدرد نونہال بھی میرے استادوں میں شامل ہے۔,درحقیقت ہمدرد نونہال بھی میرے استادوں میں شامل ہے۔
یہ میرا محسن ہے۔,یہ میرا محسن ہے۔
( اور یہ بات میں جناب حکیم محمد سعید صاحب یا جناب مسعود احمد برکاتی صاحب کو خوش کرنے کے لئے نہیں لکھ رہا۔,( اور یہ بات میں جناب حکیم محمد سعید صاحب یا جناب مسعود احمد برکاتی صاحب کو خوش کرنے کے لئے نہیں لکھ رہا۔
یہ سچی بات ہے) اپنے استادوں کے ساتھ نونہال کے لئے بھی دل سے دعا نکلتی ہے۔,یہ سچی بات ہے) اپنے استادوں کے ساتھ نونہال کے لئے بھی دل سے دعا نکلتی ہے۔
کتنے خوش نصیب ہیں پاکستانی بچے کہ ان کے ملک سے ایک نہایت عمدہ رسالہ ان کی صحیح تربیت اور رہ نمائی کے لئے نکلتا ہے۔,کتنے خوش نصیب ہیں پاکستانی بچے کہ ان کے ملک سے ایک نہایت عمدہ رسالہ ان کی صحیح تربیت اور رہ نمائی کے لئے نکلتا ہے۔
"بھئی اپنے استادوں کا یہ ذکر کچھ طویل ہوتا جا رہا ہے، اس لئے میں اسے ختم کرتا ہوں لیکن ٹھہریے! فوہ بھئی حد ہو گئی۔","بھئی اپنے استادوں کا یہ ذکر کچھ طویل ہوتا جا رہا ہے، اس لئے میں اسے ختم کرتا ہوں لیکن ٹھہریے! فوہ بھئی حد ہو گئی۔"
استادوں کا یہ ذکر الیاس صاحب کے بغیر بھلا کیسے مکمل ہو سکتا ہے؟ انہوں نے ہمیں سال ڈیڑھ سال انگریزی پڑھائی۔,استادوں کا یہ ذکر الیاس صاحب کے بغیر بھلا کیسے مکمل ہو سکتا ہے؟ انہوں نے ہمیں سال ڈیڑھ سال انگریزی پڑھائی۔
آٹھویں میں اور کچھ عرصے نویں میں۔,آٹھویں میں اور کچھ عرصے نویں میں۔
انگریزی پڑھائی کیا تھی بس گھول کر پلا دی تھی۔,انگریزی پڑھائی کیا تھی بس گھول کر پلا دی تھی۔
انگریزی گرامی کی بعض چیزیں انہوں نے جس طرح ہنسا ہنساکر اور مذاق ہی مذاق میں پڑھا دیں وہ اتنے کام کی نکلیں کہ وہیں سے صحیح معنوں میں انگریزی ہماری سمجھ میں آنے لگی اور یہ بنیادی باتیں شاید کوئی اور اس طرح نہ بتا پائے۔,انگریزی گرامی کی بعض چیزیں انہوں نے جس طرح ہنسا ہنساکر اور مذاق ہی مذاق میں پڑھا دیں وہ اتنے کام کی نکلیں کہ وہیں سے صحیح معنوں میں انگریزی ہماری سمجھ میں آنے لگی اور یہ بنیادی باتیں شاید کوئی اور اس طرح نہ بتا پائے۔
اللہ جانے الیاس صاحب اب کہاں ہیں؟ لیکن وہ جہاں کہیں بھی ہوں اللہ تعالی انہیں خوش رکھے اور دنیاو آخرت کی نعمتوں سے مالا مال کرے۔,اللہ جانے الیاس صاحب اب کہاں ہیں؟ لیکن وہ جہاں کہیں بھی ہوں اللہ تعالی انہیں خوش رکھے اور دنیاو آخرت کی نعمتوں سے مالا مال کرے۔
آمین۔,آمین۔
انہوں نے اور طاہر صاحب نے ہمیں نہایت عمدہ طریقے پر انگریزی اور اردو پرھا کر بہت بڑا احسان کیا۔,انہوں نے اور طاہر صاحب نے ہمیں نہایت عمدہ طریقے پر انگریزی اور اردو پرھا کر بہت بڑا احسان کیا۔
"بلکہ درحقیقت میرے تمام استاد میرے محسن ہیں، چاہے وہ اسکول کے زمانے کے ہوں، کالج کے ہوں یا یونیورسٹی کے۔","بلکہ درحقیقت میرے تمام استاد میرے محسن ہیں، چاہے وہ اسکول کے زمانے کے ہوں، کالج کے ہوں یا یونیورسٹی کے۔"
انہوں نے مجھ پر بڑا احسان کیا۔,انہوں نے مجھ پر بڑا احسان کیا۔
مجھے علم کی دولت سے مالا مال کیا۔,مجھے علم کی دولت سے مالا مال کیا۔
مجھے اس وقت عقل اور تعلیم دی جب میں کچھ بھی نہیں جانتا تھا۔,مجھے اس وقت عقل اور تعلیم دی جب میں کچھ بھی نہیں جانتا تھا۔
۔,۔
گرمی میں ایک شیر شکار کو نکلا۔,گرمی میں ایک شیر شکار کو نکلا۔
"چلچلاتی دھوپ میں، تپتی ہوئی زمین پر چلنے سے وہ جلد ہی تھک گیا اور ایک بڑے سے سایہ دار گھنے درخت کے نیچے آرام کرنے لیٹ گیا۔","چلچلاتی دھوپ میں، تپتی ہوئی زمین پر چلنے سے وہ جلد ہی تھک گیا اور ایک بڑے سے سایہ دار گھنے درخت کے نیچے آرام کرنے لیٹ گیا۔"
ابھی وہ سویا ہی تھا کہ کچھ چوہے اپنے بلوں سے باہر نکلے اور نادانی سے اس کی پیٹھ پر اچھلنے کودنے لگے۔,ابھی وہ سویا ہی تھا کہ کچھ چوہے اپنے بلوں سے باہر نکلے اور نادانی سے اس کی پیٹھ پر اچھلنے کودنے لگے۔
اس سے شیر کی آنکھ کھل گئی۔,اس سے شیر کی آنکھ کھل گئی۔
وہ غرایا اور غصّے میں آکر ایک چوہے کو اپنے پنجے میں دبوچ لیا۔,وہ غرایا اور غصّے میں آکر ایک چوہے کو اپنے پنجے میں دبوچ لیا۔
"ابھی وہ اسے مارنے ہی والا تھا کہ چوہے نے نہایت عاجزی سے کہا، ’’اے جنگل کے بادشاہ! مجھ غریب پر رحم کیجیے۔","ابھی وہ اسے مارنے ہی والا تھا کہ چوہے نے نہایت عاجزی سے کہا، ’’اے جنگل کے بادشاہ! مجھ غریب پر رحم کیجیے۔"
مجھ جیسے چھوٹے اور کمزور کو مارنے سے آپ کی خاندانی شرافت پر آنچ آئےگی اور سارے جنگل میں بدنامی ہوگی کہ جنگل کے بادشاہ شیر نے ایک چوہے کو مار دیا ہے۔,مجھ جیسے چھوٹے اور کمزور کو مارنے سے آپ کی خاندانی شرافت پر آنچ آئےگی اور سارے جنگل میں بدنامی ہوگی کہ جنگل کے بادشاہ شیر نے ایک چوہے کو مار دیا ہے۔
"” 

یہ بات سن کر شیر نے اس پر ترس کھایا اور ڈرتے کانپتے چوہے کو آزاد کر دیا۔","” 

یہ بات سن کر شیر نے اس پر ترس کھایا اور ڈرتے کانپتے چوہے کو آزاد کر دیا۔"
کچھ دن بعد وہی شیر شکار کے لیے جنگل میں نکلا۔,کچھ دن بعد وہی شیر شکار کے لیے جنگل میں نکلا۔
ابھی شکار کی تلاش میں وہ ادھر ادھر پھر ہی رہا تھا کہ اچانک شکاریوں کے جال میں پھنس گیا۔,ابھی شکار کی تلاش میں وہ ادھر ادھر پھر ہی رہا تھا کہ اچانک شکاریوں کے جال میں پھنس گیا۔
"اس نے نکلنے کے لیے بہت ہاتھ پاؤں مارے، لیکن جال سے نہ نکل سکا۔","اس نے نکلنے کے لیے بہت ہاتھ پاؤں مارے، لیکن جال سے نہ نکل سکا۔"
آخر پریشان اور لاچار ہو کر وہ پورے زور سے دھاڑا۔,آخر پریشان اور لاچار ہو کر وہ پورے زور سے دھاڑا۔
"جیسے ہی چوہے نے شیر کی دھاڑنے کی آواز سنی، وہ تیزی سے وہاں پہنچا۔","جیسے ہی چوہے نے شیر کی دھاڑنے کی آواز سنی، وہ تیزی سے وہاں پہنچا۔"
دیکھا کہ وہی شیر ہے جس نے اس کی جان بخشی تھی۔,دیکھا کہ وہی شیر ہے جس نے اس کی جان بخشی تھی۔
"وہ شیر کے پاس گیا اور کہا، ‘’اے بادشاہ سلامت! میں آپ کا دوست ہوں۔","وہ شیر کے پاس گیا اور کہا، ‘’اے بادشاہ سلامت! میں آپ کا دوست ہوں۔"
آپ نے میری جان بخشی تھی۔,آپ نے میری جان بخشی تھی۔
آپ بالکل فکر مت کریں۔,آپ بالکل فکر مت کریں۔
"” 

یہ کہہ کر وہ جلدی جلدی اپنے ننھے تیز دانتوں سے جال کاٹنے لگا اور ذرا سی دیر میں جال کاٹ کر شیر کو آزاد کرا دیا۔","” 

یہ کہہ کر وہ جلدی جلدی اپنے ننھے تیز دانتوں سے جال کاٹنے لگا اور ذرا سی دیر میں جال کاٹ کر شیر کو آزاد کرا دیا۔"
جب شیر آزاد ہوا تو اس نے سوچا کہ وہ بھی اس احسان کے بدلے کوئی احسان کرے۔,جب شیر آزاد ہوا تو اس نے سوچا کہ وہ بھی اس احسان کے بدلے کوئی احسان کرے۔
"یہ سوچ کر اس نے چوہے سے کہا، ‘’اے دوست! تو نے مجھ پر احسان کیا ہے۔","یہ سوچ کر اس نے چوہے سے کہا، ‘’اے دوست! تو نے مجھ پر احسان کیا ہے۔"
"جو تو مجھ سے مانگےگا، میں دوں گا۔","جو تو مجھ سے مانگےگا، میں دوں گا۔"
"بول کیا مانگتا ہے؟” 

چوہا یہ سن کر خوشی کے مارے پھولا نہ سمایا اور بھول گیا کہ وہ اپنے لائق کیا مانگے اور کون سی ایسی چیز مانگے کہ شیر اسے دے بھی سکے۔","بول کیا مانگتا ہے؟” 

چوہا یہ سن کر خوشی کے مارے پھولا نہ سمایا اور بھول گیا کہ وہ اپنے لائق کیا مانگے اور کون سی ایسی چیز مانگے کہ شیر اسے دے بھی سکے۔"
"اپنی حیثیت بھول کر اس نے جلدی سے کہا، ‘’اے بادشاہ سلامت! اپنی شیر زادی کی شادی مجھ سے کر دیجیے۔","اپنی حیثیت بھول کر اس نے جلدی سے کہا، ‘’اے بادشاہ سلامت! اپنی شیر زادی کی شادی مجھ سے کر دیجیے۔"
"” 

شیر زبان دے چکا تھا۔","” 

شیر زبان دے چکا تھا۔"
اس نے چوہے کی بات مان لی اور رشتہ قبول کر لیا۔,اس نے چوہے کی بات مان لی اور رشتہ قبول کر لیا۔
شادی کے دن نوجوان شیر زادی بن ٹھن کر نکلی اور جھومتی جھامتی اٹھکھیلیاں کرتی ہوئی بےفکری سے چلنے لگی۔,شادی کے دن نوجوان شیر زادی بن ٹھن کر نکلی اور جھومتی جھامتی اٹھکھیلیاں کرتی ہوئی بےفکری سے چلنے لگی۔
دولہا چوہا اس کے استقبال کے لیے سامنے کھڑا تھا کہ بےخیالی میں اتفاق سے شیر زادی دلہن کا پاؤں دولہا چوہے پر پڑ گیا اور وہ بے چارا وہیں پس کر ڈھیر ہو گیا۔,دولہا چوہا اس کے استقبال کے لیے سامنے کھڑا تھا کہ بےخیالی میں اتفاق سے شیر زادی دلہن کا پاؤں دولہا چوہے پر پڑ گیا اور وہ بے چارا وہیں پس کر ڈھیر ہو گیا۔
۔,۔
یہ اس زمانے کا ذکر ہے جب بندوق ایجاد نہیں ہوئی تھی اور لوگ تیر کمان سے شکار کھیلتے تھے۔,یہ اس زمانے کا ذکر ہے جب بندوق ایجاد نہیں ہوئی تھی اور لوگ تیر کمان سے شکار کھیلتے تھے۔
ایک دن کچھ شکاری شکار کی تلاش میں جنگل میں پھر رہے تھے کہ اچانک ان کی نظر ایک ہرن پر پڑی۔,ایک دن کچھ شکاری شکار کی تلاش میں جنگل میں پھر رہے تھے کہ اچانک ان کی نظر ایک ہرن پر پڑی۔
وہ سب اس کے پیچھے ہو لیے۔,وہ سب اس کے پیچھے ہو لیے۔
شکاری ہرن کو چاروں طرف سے گھیر رہے تھے اور ہرن اپنی جان بچانے کے لی ےتیزی سے بھاگ تھا۔,شکاری ہرن کو چاروں طرف سے گھیر رہے تھے اور ہرن اپنی جان بچانے کے لی ےتیزی سے بھاگ تھا۔
جب وہ بھاگتے بھاگتے تھک گیا توا یک گھنی انگور کی بیل کے اندر جا چھپا۔,جب وہ بھاگتے بھاگتے تھک گیا توا یک گھنی انگور کی بیل کے اندر جا چھپا۔
"شکاریوں نے اسے بہت تلاش کیا، لیکن اس کا کچھ پتا نہیں چلا۔","شکاریوں نے اسے بہت تلاش کیا، لیکن اس کا کچھ پتا نہیں چلا۔"
آخر مایوس ہوکر وہ وہاں سے لوٹنے لگے۔,آخر مایوس ہوکر وہ وہاں سے لوٹنے لگے۔
"جب کچھ وقت گزر گیا تو ہرن نے سوچا کہ اب خطرہ ٹل گیا ہے اور وہ بے فکر ہوکر مزے سے اسی انگور کی بیل کے پتے کھانے لگا، جس میں وہ چھپا ہوا تھا۔","جب کچھ وقت گزر گیا تو ہرن نے سوچا کہ اب خطرہ ٹل گیا ہے اور وہ بے فکر ہوکر مزے سے اسی انگور کی بیل کے پتے کھانے لگا، جس میں وہ چھپا ہوا تھا۔"
"ایک شکاری جو سب سے پیچھے تھا، جب وہاں سے گزرا تو انگور کی بیل اور اس کے گچھوں کو ہلتے دیکھ کر سمجھا کہ یہاں ضرور کوئی جانور چھپا ہے۔","ایک شکاری جو سب سے پیچھے تھا، جب وہاں سے گزرا تو انگور کی بیل اور اس کے گچھوں کو ہلتے دیکھ کر سمجھا کہ یہاں ضرور کوئی جانور چھپا ہے۔"
اس نے تاک کے کئی تیر مارے۔,اس نے تاک کے کئی تیر مارے۔
اتفاق سے ایک تیر ہرن کو جا لگا اور وہ وہیں ڈھیر ہو گیا۔,اتفاق سے ایک تیر ہرن کو جا لگا اور وہ وہیں ڈھیر ہو گیا۔
"مرتے ہوئے ہرن نے اپنے دل میں کہا، ‘’اے بدبخت! تیری ناشکری کی یہی سزا ہے۔","مرتے ہوئے ہرن نے اپنے دل میں کہا، ‘’اے بدبخت! تیری ناشکری کی یہی سزا ہے۔"
"مصیبت کے وقت جس نے تجھے پناہ دی، تو نے اسی پر ظلم ڈھایا۔","مصیبت کے وقت جس نے تجھے پناہ دی، تو نے اسی پر ظلم ڈھایا۔"
"” 

اتنے میں شکاری بھی وہاں پہنچ گئے۔","” 

اتنے میں شکاری بھی وہاں پہنچ گئے۔"
کیا دیکھتے ہیں وہی ہرن مرا پڑا ہے۔,کیا دیکھتے ہیں وہی ہرن مرا پڑا ہے۔
۔,۔
کسی گاؤں میں ایک بوڑھا اور بڑھیا رہا کرتے تھے۔,کسی گاؤں میں ایک بوڑھا اور بڑھیا رہا کرتے تھے۔
ان کے پاس پوچی نام کا ایک کتا تھا۔,ان کے پاس پوچی نام کا ایک کتا تھا۔
اس کو دونوں بہت پیار کرتے تھے۔,اس کو دونوں بہت پیار کرتے تھے۔
"ایک دن جب بوڑھا اپنے کھیت میں کام کر رہا تھا، پوچی اسے کھینچ کر ایک طرف لے گیا اور بھونک بھونک کر پنجوں سے زمین کریدنے لگا۔","ایک دن جب بوڑھا اپنے کھیت میں کام کر رہا تھا، پوچی اسے کھینچ کر ایک طرف لے گیا اور بھونک بھونک کر پنجوں سے زمین کریدنے لگا۔"
بوڑھا جتنا بھی اسے ہٹانے کی کوشش کرتا پوچی اتنے ہی زور سے بھوں بھوں کرتے ہوئے پھر زمین کریدنے لگتا۔,بوڑھا جتنا بھی اسے ہٹانے کی کوشش کرتا پوچی اتنے ہی زور سے بھوں بھوں کرتے ہوئے پھر زمین کریدنے لگتا۔
آخر بوڑھے نے پھاوڑا اٹھاکر اس جگہ کو کھودنا شروع کیا۔,آخر بوڑھے نے پھاوڑا اٹھاکر اس جگہ کو کھودنا شروع کیا۔
کھودنے پر وہاں سے ہیرے اور موتیوں سے بھرا ہوا گھڑا نکلا جسے پاکر بوڑھا بہت خوش ہوا اور سارا خزانہ لے کر اپنے گھر آ گیا۔,کھودنے پر وہاں سے ہیرے اور موتیوں سے بھرا ہوا گھڑا نکلا جسے پاکر بوڑھا بہت خوش ہوا اور سارا خزانہ لے کر اپنے گھر آ گیا۔
بوڑھے کا ایک پڑوسی تھا۔,بوڑھے کا ایک پڑوسی تھا۔
بےحد لالچی۔,بےحد لالچی۔
اس نے بوڑھے کو خزانہ لاتے ہوئے دیکھا تو پوچھ لیا۔,اس نے بوڑھے کو خزانہ لاتے ہوئے دیکھا تو پوچھ لیا۔
بوڑھا تھا سیدھا سادھا۔,بوڑھا تھا سیدھا سادھا۔
اس نے پڑوسی کو خزانہ ملنے کا سارا واقعہ کہہ سنایا۔,اس نے پڑوسی کو خزانہ ملنے کا سارا واقعہ کہہ سنایا۔
جلن کی وجہ سے پڑوسی کی نیند اڑ گئی۔,جلن کی وجہ سے پڑوسی کی نیند اڑ گئی۔
اگلے دن اس نے میٹھی میٹھی باتیں کر کے بوڑھے سے ایک دن کے لئے پوچی کو مانگ لیا۔,اگلے دن اس نے میٹھی میٹھی باتیں کر کے بوڑھے سے ایک دن کے لئے پوچی کو مانگ لیا۔
اسے لے کر وہ سیدھے اپنے کھیت میں گیا اور بار بار کتے کو تنگ کرنے لگا کہ وہ اسے بھی خزانہ دکھائے۔,اسے لے کر وہ سیدھے اپنے کھیت میں گیا اور بار بار کتے کو تنگ کرنے لگا کہ وہ اسے بھی خزانہ دکھائے۔
آخر پوچی نے ایک جگہ کر پنجوں سے زمین کریدنی شروع ہی کی تھی کہ پڑوسی نے جھٹ پھاوڑے سے وہ جگہ کھود ڈالی۔,آخر پوچی نے ایک جگہ کر پنجوں سے زمین کریدنی شروع ہی کی تھی کہ پڑوسی نے جھٹ پھاوڑے سے وہ جگہ کھود ڈالی۔
کھونے پر ہیرے موتیوں کے بجائے اسے ملا کوڑا اور گندا کچڑا۔,کھونے پر ہیرے موتیوں کے بجائے اسے ملا کوڑا اور گندا کچڑا۔
پڑوسی نے جھلاہٹ میں آؤ دیکھا نہ تاؤ اور پوچی کو مار کر پھینک دیا۔,پڑوسی نے جھلاہٹ میں آؤ دیکھا نہ تاؤ اور پوچی کو مار کر پھینک دیا۔
